Species_Abb,FIN_name,SWE_name,ENG_name,Sci_name,Record_count
CALTEM,lapinsirri,mosnäppa,Temminck's Stint,Calidris temminckii,460
LUSSVE,sinirinta,blåhake,Bluethroat,Luscinia svecica,421
TURTOR,sepelrastas,ringtrast,Ring Ouzel,Turdus torquatus,51
SYLNIS,kirjokerttu,höksångare,Barred Warbler,Sylvia nisoria,460
SYLCOM,pensaskerttu,törnsångare,Common Whitethroat,Sylvia communis,3287
MUSSTR,harmaasieppo,grå flugsnappare,Spotted Flycatcher,Muscicapa striata,3608
CARERY,punavarpunen,rosenfink,Common Rosefinch,Carpodacus erythrinus,2309
MELSP,mustalintulaji,Melanitta (släktet),Unidentified Scoter,Melanitta sp,23
APUAPU,tervapääsky,tornseglare,Common Swift,Apus apus,3193
BRABER,sepelhanhi,prutgås,Brant Goose,Branta bernicla,882
PLUSQU,tundrakurmitsa,kustpipare,Grey Plover,Pluvialis squatarola,1769
ANTCER,lapinkirvinen,rödstrupig piplärka,Red-throated Pipit,Anthus cervinus,637
SYLBOR,lehtokerttu,trädgårdssångare,Garden Warbler,Sylvia borin,2746
FICPAR,pikkusieppo,mindre flugsnappare,Red-breasted Flycatcher,Ficedula parva,568
ORIORI,kuhankeittäjä,sommargylling,Eurasian Golden Oriole,Oriolus oriolus,109
CICCIC,kattohaikara,vit stork,White Stork,Ciconia ciconia,21
ALC/URI,ruokki / kiislalaji,ob. alka,Razorbill / Unidentified Murre,Alca / Uria,240
PHYDES,idänuunilintu,lundsångare,Greenish Warbler,Phylloscopus trochiloides,139
GALMED,heinäkurppa,dubbelbeckasin,Great Snipe,Gallinago media,41
LOCNAE,pensassirkkalintu,gräshoppsångare,Common Grasshopper Warbler,Locustella naevia,56
HIPICT,kultarinta,härmsångare,Icterine Warbler,Hippolais icterina,2239
ACRSCI,rytikerttunen,rörsångare,Eurasian Reed Warbler,Acrocephalus scirpaceus,1004
PFAL,pieni jalohaukka,liten falk,Unidentified Small Falcon,parvus Falco,349
FICALB,sepelsieppo,halsbandsflugsnappare,Collared Flycatcher,Ficedula albicollis,12
ACRDUM/ACRRIS/ACRSCI,viitakerttunen / luhtakerttunen / rytikerttunen,busksångare / kärrsångare / rörsångare,Unidentified Reed Warbler,Acrocephalus dumetorum / Acrocephalus palustris / Acrocephalus scirpaceus,19
STESAN,riuttatiira,kentsk tärna,Sandwich Tern,Sterna sandvicensis,56
LOXPYT,isokäpylintu,större korsnäbb,Parrot Crossbill,Loxia pytyopsittacus,921
CIRCYA/CIRMAC/CIRPYG,sinisuohaukka / arosuohaukka / niittysuohaukka,blå kärrhök / stäpphök / ängshök,Pallied / Montagu's Harrier,Circus cyaneus / Circus macrourus / Circus pygargus,184
PLUSP,kurmitsalaji,Pluvialis (släktet),Unidentified Pluvialis plover,Pluvialis sp,127
ACRRIS,luhtakerttunen,kärrsångare,Marsh Warbler,Acrocephalus palustris,628
PHALOB,vesipääsky,smalnäbbad simsnäppa,Red-necked Phalarope,Phalaropus lobatus,148
CALFER,kuovisirri,spovsnäppa,Curlew Sandpiper,Calidris ferruginea,497
LOPCRI,töyhtötiainen,tofsmes,European Crested Tit,Lophophanes cristatus,2808
CHLNIG,mustatiira,svarttärna,Black Tern,Chlidonias niger,20
BRACAN,kanadanhanhi,kanadagås,Canada Goose,Branta canadensis,647
PORPOR,luhtahuitti,småfläckig sumphöna,Spotted Crake,Porzana porzana,14
POEMON,hömötiainen,talltita,Willow Tit,Poecile montanus,2634
DRYMAR,palokärki,spillkråka,Black Woodpecker,Dryocopus martius,2149
LOXLEU,kirjosiipikäpylintu,bändelkorsnäbb,Two-barred Crossbill,Loxia leucoptera,360
DENMAJ,käpytikka,större hackspett,Great Spotted Woodpecker,Dendrocopos major,2879
NUCCAR,pähkinähakki,nötkråka,Spotted Nutcracker,Nucifraga caryocatactes,1556
PERATE,kuusitiainen,svartmes,Coal Tit,Periparus ater,2459
CALALB,pulmussirri,sandlöpare,Sanderling,Calidris alba,119
KT,keskikokoinen tikka,medelstor hackspett,Unidentified Middle-sized Woodpecker,medium Picidae,134
CALFAL,jänkäsirriäinen,myrsnäppa,Broad-billed Sandpiper,Calidris falcinellus,154
CALUTA,pikkusirri,småsnäppa,Little Stint,Calidris minuta,369
GAVIMM/GAVADA,amerikanjääkuikka / jääkuikka,svartnäbbad islom / vitnäbbad islom,Great Northern / Yellow-billed Diver,Gavia immer / Gavia adamsii,17
LYMMIN,jänkäkurppa,dvärgbeckasin,Jack Snipe,Lymnocryptes minimus,312
AQUCLA/AQUPOM,kiljukotka / pikkukiljukotka,större skrikörn / mindre skrikörn,Unidentified Spotted Eagle,Aquila clanga / Aquila pomarina,10
EMBRUS,pohjansirkku,videsparv,Rustic Bunting,Emberiza rustica,123
GARGLA,närhi,nötskrika,Eurasian Jay,Garrulus glandarius,628
GLAPAS,varpuspöllö,sparvuggla,Eurasian Pygmy Owl,Glaucidium passerinum,289
TACRUF,pikku-uikku,smådopping,Little Grebe,Tachybaptus ruficollis,38
ANSALB,tundrahanhi,bläsgås,Greater White-fronted Goose,Anser albifrons,233
AQUCHR,maakotka,kungsörn,Golden Eagle,Aquila chrysaetos,197
BUBBUB,huuhkaja,berguv,Eurasian Eagle Owl,Bubo bubo,270
PICTRI,pohjantikka,tretåig hackspett,Three-toed Woodpecker,Picoides tridactylus,249
POECIN,lapintiainen,lappmes,Grey-headed Chickadee,Poecile cinctus,50
EREALP,tunturikiuru,berglärka,Horned Lark,Eremophila alpestris,50
PINENU,taviokuurna,tallbit,Pine Grosbeak,Pinicola enucleator,103
SURULU,hiiripöllö,hökuggla,Northern Hawk Owl,Surnia ulula,44
TETURO,metso,tjäder,Western Capercaillie,Tetrao urogallus,11
CARHOR,tundraurpiainen,snösiska,Arctic Redpoll,Carduelis hornemanni,63
PODCRI/PODGRI,silkkiuikku / härkälintu,skäggdopping / gråhakedopping,Great Crested / Red-necked Grebe,Podiceps cristatus / Podiceps grisegena,7
PODAUR/PODNIG,mustakurkku-uikku / mustakaulauikku,svarthakedopping / svarthalsad dopping,Slavonian / Black-necked Grebe,Podiceps auritus / Podiceps nigricollis,3
RISTRI,pikkukajava,tretåig mås,Black-legged Kittiwake,Rissa tridactyla,135
LIMLIM,mustapyrstökuiri,rödspov,Black-tailed Godwit,Limosa limosa,42
UPUEPO,harjalintu,härfågel,Hoopoe,Upupa epops,9
EMBCAL,harmaasirkku,kornsparv,Corn Bunting,Emberiza calandra,9
PHOOCH,mustaleppälintu,svart rödstjärt,Black Redstart,Phoenicurus ochruros,91
ACRDUM,viitakerttunen,busksångare,Blyth's Reed Warbler,Acrocephalus dumetorum,215
